;OBLEA;IP;MODELO;PROCESAR;PING;TTL;FECHA;CONTADOR;CONTADORBYN;CONTADORCOL;N_SERIE
93;P0096;128.51.13.12;B400;True;0,0;22,0;2022-12-29 08:57:50.981983;0;0;0;0
94;P0097;128.51.13.14;B400;True;0,0;21,0;2022-12-29 08:57:51.013535;0;0;0;0
95;P0098;128.83.13.5;3260;True;11003,0;;2022-12-29 08:57:54.062962;0;0;0;0
96;P0099;128.0.13.59;3320;True;0,0;11,0;2022-12-29 08:57:54.086543;0;0;0;0
97;P0100;128.35.13.10;B405;True;0,0;33,0;2022-12-29 08:57:54.132654;0;0;0;0
98;P0101;128.35.13.12;B400;True;0,0;34,0;2022-12-29 08:57:54.181053;0;0;0;0
99;P0102;128.35.13.14;B400;True;0,0;34,0;2022-12-29 08:57:54.235848;0;0;0;0
100;P0103;128.96.13.10;3615;True;0,0;18,0;2022-12-29 08:57:54.265940;0;0;0;0
101;P0104;128.96.13.12;3320;True;0,0;19,0;2022-12-29 08:57:54.324544;0;0;0;0
102;P0105;128.96.13.14;3260;True;11010,0;;2022-12-29 08:57:57.930013;0;0;0;0
103;P0106;128.90.13.10;B405;True;0,0;16,0;2022-12-29 08:57:57.960929;0;0;0;0
104;P0107;128.90.13.12;3320;True;0,0;17,0;2022-12-29 08:57:57.991282;0;0;0;0
105;P0108;128.90.13.14;3320;True;0,0;18,0;2022-12-29 08:57:58.020003;0;0;0;0
106;P0109;128.90.13.16;3320;True;0,0;16,0;2022-12-29 08:57:58.054257;0;0;0;0
107;P0110;128.90.13.18;3320;True;0,0;18,0;2022-12-29 08:57:58.108014;0;0;0;0
108;P0111;128.90.13.20;3320;True;0,0;17,0;2022-12-29 08:57:58.145742;0;0;0;0
109;P0112;128.90.13.22;0;False;11003,0;;2022-12-29 08:58:01.166997;0;0;0;0
110;P0115;128.0.13.254;3320;True;0,0;2,0;2022-12-29 08:58:01.180261;0;0;0;0
111;P0117;128.80.13.20;B400;True;11010,0;;2022-12-29 08:58:04.928870;0;0;0;0
112;P0118;128.80.13.22;7225;True;0,0;25,0;2022-12-29 08:58:04.970612;0;0;0;0
113;P0119;128.80.13.24;B400;True;0,0;108,0;2022-12-29 08:58:05.095274;0;0;0;0
114;P0120;128.80.13.26;B400;True;0,0;25,0;2022-12-29 08:58:05.142536;0;0;0;0
115;P0121;128.80.13.28;B400;True;0,0;38,0;2022-12-29 08:58:05.195330;0;0;0;0
116;P0122;128.80.13.30;B400;True;0,0;81,0;2022-12-29 08:58:05.304225;0;0;0;0
117;P0123;128.0.13.129;3615;True;0,0;17,0;2022-12-29 08:58:05.356032;0;0;0;0
118;P0124;128.0.13.132;3615;True;0,0;4,0;2022-12-29 08:58:05.373813;0;0;0;0
119;P0125;128.0.13.133;3615;True;0,0;11,0;2022-12-29 08:58:05.396219;0;0;0;0
120;P0126;128.0.13.134;3615;True;0,0;7,0;2022-12-29 08:58:05.414972;0;0;0;0
121;P0127;128.95.13.10;3320;True;0,0;30,0;2022-12-29 08:58:05.463151;0;0;0;0
122;P0128;128.0.13.136;3615;True;0,0;2,0;2022-12-29 08:58:05.478919;0;0;0;0
123;P0129;128.0.13.137;3615;True;0,0;88,0;2022-12-29 08:58:05.579651;0;0;0;0
124;P0130;128.0.13.138;3615;True;0,0;2,0;2022-12-29 08:58:05.593317;0;0;0;0
125;P0131;128.0.13.139;B405;True;0,0;2,0;2022-12-29 08:58:05.606570;0;0;0;0
126;P0132;128.0.13.140;3615;True;11003,0;;2022-12-29 08:58:08.429901;0;0;0;0
127;P0133;128.0.13.141;3615;True;0,0;2,0;2022-12-29 08:58:08.443464;0;0;0;0
128;P0134;128.40.13.18;3615;True;0,0;20,0;2022-12-29 08:58:08.475234;0;0;0;0
129;P0135;128.0.13.144;3615;True;0,0;2,0;2022-12-29 08:58:08.488248;0;0;0;0
130;P0136;128.0.13.146;3615;True;0,0;12,0;2022-12-29 08:58:08.511056;0;0;0;0
131;P0137;128.0.13.149;3610;True;0,0;7,0;2022-12-29 08:58:08.530011;0;0;0;0
132;P0138;128.0.13.151;3610;True;0,0;10,0;2022-12-29 08:58:08.552552;0;0;0;0
133;P0139;128.0.13.152;3610;True;0,0;6,0;2022-12-29 08:58:08.570569;0;0;0;0
134;P0140;128.0.13.155;3610;True;0,0;10,0;2022-12-29 08:58:08.591962;0;0;0;0
135;P0141;128.0.13.157;3610;True;0,0;4,0;2022-12-29 08:58:08.607508;0;0;0;0
136;P0142;128.0.13.158;B405;True;0,0;13,0;2022-12-29 08:58:08.633380;0;0;0;0
137;P0143;128.0.13.71;8900;True;0,0;1,0;2022-12-29 08:58:08.646347;0;0;0;0
138;P0144;128.0.13.66;B405;True;0,0;7,0;2022-12-29 08:58:08.666295;0;0;0;0
139;P0145;128.0.13.165;8900;True;0,0;6,0;2022-12-29 08:58:08.685626;0;0;0;0
140;P0146;128.0.13.106;0;False;0,0;3,0;2022-12-29 08:58:08.702270;0;0;0;0
141;P0147;128.0.13.73;3320;True;0,0;2,0;2022-12-29 08:58:08.715686;0;0;0;0
142;P0148;128.0.13.72;B400;True;0,0;1,0;2022-12-29 08:58:08.727290;0;0;0;0
143;P0149;128.0.13.103;B405;True;0,0;4,0;2022-12-29 08:58:08.742681;0;0;0;0
144;P0150;128.0.13.106;8900;True;0,0;0,0;2022-12-29 08:58:08.753169;0;0;0;0
145;P0151;128.0.13.107;8900;True;0,0;1,0;2022-12-29 08:58:08.765254;0;0;0;0
146;P0152;128.0.13.111;8900;True;0,0;1,0;2022-12-29 08:58:08.777263;0;0;0;0
147;P0153;128.0.13.113;8900;True;0,0;1,0;2022-12-29 08:58:08.788780;0;0;0;0
148;P0154;128.0.13.114;0;False;11003,0;;2022-12-29 08:58:11.431591;0;0;0;0
149;P0155;128.0.13.115;8900;True;0,0;1,0;2022-12-29 08:58:11.443559;0;0;0;0
150;P0156;128.0.13.117;8900;True;0,0;9,0;2022-12-29 08:58:11.465160;0;0;0;0
151;P0157;128.0.13.178;8900;True;0,0;0,0;2022-12-29 08:58:11.477769;0;0;0;0
152;P0158;128.80.13.34;8900;True;11003,0;;2022-12-29 08:58:14.523470;0;0;0;0
153;P0159;128.0.13.174;C500;True;0,0;2,0;2022-12-29 08:58:14.537159;0;0;0;0
154;P0160;128.0.13.169;C500;True;0,0;1,0;2022-12-29 08:58:14.549350;0;0;0;0
