;Unnamed: 0;OBLEA;IP;LOCALIDAD;MODELO;PING;TTL;FECHA;CONTADOR;N_SERIE
199;199;P0200;128.0.13.23;PARANA;7845;0,0;1170,0;2022-12-16 10:33:02.762657;en desarrollo;27161
200;200;P0201;128.50.13.185;URUGUAY;7225;0,0;31,0;2022-12-16 10:33:03.468458;en desarrollo;156754
201;201;P0202;128.0.13.186;PARANA;3320;0,0;6,0;2022-12-16 10:33:03.599959;" ""3223556794      """; 123607
202;202;P0203;;desconocido;;;;2022-12-16 09:23:30.428206;0;0
203;203;P0204;;desconocido;;;;2022-12-16 09:23:41.773359;0;0
204;204;P0205;128.0.13.231;PARANA;B400;0,0;1,0;2022-12-16 10:33:03.600956;Falta SCRAP;0
205;205;P0206;128.0.13.162;PARANA;B615;0,0;0,0;2022-12-16 10:33:03.601953;Falta SCRAP;0
206;206;P0207;128.0.13.148;PARANA;B400;0,0;0,0;2022-12-16 10:33:03.601953;Falta SCRAP;0
207;207;P0208;128.0.13.164;PARANA;B400;0,0;1,0;2022-12-16 10:33:03.602950;Falta SCRAP;0
208;208;P0209;128.0.13.205;PARANA;B400;0,0;0,0;2022-12-16 10:33:03.603949;Falta SCRAP;0
209;209;P0210;128.0.13.210;PARANA;3610;0,0;2,0;2022-12-16 10:33:03.731002;en desarrollo;33072 
210;210;P0211;128.0.13.42;PARANA;6655;0,0;5,0;2022-12-16 10:33:03.988012;en desarrollo;135532
211;211;P0212;128.0.13.43;PARANA;6655;0,0;13,0;2022-12-16 10:33:11.394889;en desarrollo;51333
212;212;P0213;128.0.13.43;PARANA (http://128.0.13.45/ NO ACEPTA TELNET);6655;0,0;1,0;2022-12-16 10:33:11.820984;en desarrollo;51333
213;213;P0214;128.0.13.46;PARANA;B405;0,0;1,0;2022-12-16 10:33:11.822981;Falta SCRAP;0
214;214;P0215;128.0.13.47;PARANA;B405;0,0;1,0;2022-12-16 10:33:11.823976;Falta SCRAP;0
