;OBLEA;IP;LOCALIDAD;MODELO;PING;TTL;FECHA;CONTADOR;N_SERIE
160;P0161;128.0.13.171;PARANA;6500;0,0;1,0;2022-12-16 09:23:00.795080;0;0
161;P0162;128.0.13.172;PARANA;C500;0,0;0,0;2022-12-16 09:23:00.806470;0;0
162;P0163;128.0.13.173;PARANA;C500;0,0;0,0;2022-12-16 09:23:00.818444;0;0
163;P0164;128.70.13.50;CHAJARI;3260;11003,0;;2022-12-16 09:23:03.853639;0;0
164;P0165;128.0.13.190;PARANA;7225;0,0;4,0;2022-12-16 09:23:03.870198;0;0
165;P0166;128.0.13.191;PARANA;7225;0,0;12,0;2022-12-16 09:23:03.893500;0;0
166;P0167;128.0.13.192;PARANA;8880;0,0;6,0;2022-12-16 09:23:03.910401;0;0
167;P0168;128.0.13.193;PARANA;8880;0,0;8,0;2022-12-16 09:23:03.928204;0;0
168;P0169;128.0.13.194;PARANA;6505;0,0;1,0;2022-12-16 09:23:03.942063;0;0
169;P0170;128.10.13.50;CAPITAL FEDERAL;3320;0,0;22,0;2022-12-16 09:23:03.976067;0;0
170;P0171;128.10.13.51;CAPITAL FEDERAL;8900;0,0;18,0;2022-12-16 09:23:04.005668;0;0
171;P0172;128.94.13.10;CEIBAS;3615;0,0;49,0;2022-12-16 09:23:04.066445;0;0
172;P0173;128.31.13.10;MACIA;3320;0,0;56,0;2022-12-16 09:23:04.137053;0;0
173;P0174;128.0.13.181;PARANA;3320;0,0;1,0;2022-12-16 09:23:04.150019;0;0
174;P0175;128.0.13.9;PARANA;3320;0,0;3,0;2022-12-16 09:23:04.163981;0;0
175;P0176;128.0.13.183;PARANA;3615;0,0;2,0;2022-12-16 09:23:04.178743;0;0
176;P0177;128.0.13.175;PARANA;7225;0,0;7,0;2022-12-16 09:23:04.197563;0;0
177;P0178;128.0.13.195;PARANA;7225;0,0;93,0;2022-12-16 09:23:04.325078;0;0
178;P0179;128.0.13.182;PARANA;3615;0,0;0,0;2022-12-16 09:23:04.340035;0;0
179;P0180;128.0.13.176;PARANA;3320;11003,0;;2022-12-16 09:23:05.808820;0;0
180;P0181;128.50.13.70;URUGUAY;B400;0,0;43,0;2022-12-16 09:23:05.864779;0;0
181;P0182;;desconocido;;;;2022-12-16 09:23:17.186947;0;0
182;P0183;128.60.13.40;BASAVILBASO;7225;0,0;15,0;2022-12-16 09:23:17.213556;0;0
183;P0184;128.70.13.35;CHAJARI;7225;0,0;1231,0;2022-12-16 09:23:18.462156;0;0
184;P0185;128.90.13.46;GUALEGUAY;7225;0,0;18,0;2022-12-16 09:23:18.491971;0;0
185;P0186;128.90.13.46;URUGUAY (NO ACEPTA TELNET 128.50.13.45);7225;0,0;16,0;2022-12-16 09:23:18.520193;0;0
186;P0187;128.0.13.12;PARANA;3320;11003,0;;2022-12-16 09:23:19.807110;0;0
187;P0188;128.0.13.184;PARANA;7225;0,0;14,0;2022-12-16 09:23:19.832691;0;0
188;P0189;128.20.13.22;CRESPO;7225;11003,0;;2022-12-16 09:23:22.853533;0;0
189;P0190;128.30.13.20;NOGOYA;3320;0,0;26,0;2022-12-16 09:23:22.901043;0;0
190;P0191;128.0.13.202;PARANA;B400;0,0;0,0;2022-12-16 09:23:22.911559;0;0
191;P0192;128.0.13.203;PARANA;3320;0,0;6,0;2022-12-16 09:23:22.928388;0;0
192;P0193;128.0.13.206;PARANA;7225;0,0;85,0;2022-12-16 09:23:23.051375;0;0
193;P0194;128.0.13.102;PARANA;7225;0,0;4,0;2022-12-16 09:23:23.070192;0;0
194;P0195;128.50.13.71;URUGUAY;B400;0,0;11,0;2022-12-16 09:23:23.094853;0;0
195;P0196;;desconocido;;;;2022-12-16 09:23:25.379971;0;0
196;P0197;128.0.13.92;PARANA;3320;11003,0;;2022-12-16 09:23:26.820867;0;0
197;P0198;128.70.13.30;CHAJARI;B400;0,0;20,0;2022-12-16 09:23:26.854837;0;0
198;P0199;128.0.13.57;PARANA;3615;0,0;1,0;2022-12-16 09:23:26.868613;0;0
199;P0200;128.0.13.23;PARANA;7845;0,0;1170,0;2022-12-16 09:23:28.050514;0;0
200;P0201;128.50.13.185;URUGUAY;7225;0,0;31,0;2022-12-16 09:23:28.096322;0;0
201;P0202;128.0.13.186;PARANA;3320;0,0;6,0;2022-12-16 09:23:28.113368;0;0
202;P0203;;desconocido;;;;2022-12-16 09:23:30.428206;0;0
203;P0204;;desconocido;;;;2022-12-16 09:23:41.773359;0;0
204;P0205;128.0.13.231;PARANA;B400;0,0;1,0;2022-12-16 09:23:41.786001;0;0
205;P0206;128.0.13.162;PARANA;B615;0,0;0,0;2022-12-16 09:23:41.796689;0;0
206;P0207;128.0.13.148;PARANA;B400;0,0;0,0;2022-12-16 09:23:41.809274;0;0
207;P0208;128.0.13.164;PARANA;B400;0,0;1,0;2022-12-16 09:23:41.821256;0;0
208;P0209;128.0.13.205;PARANA;B400;0,0;0,0;2022-12-16 09:23:41.833545;0;0
209;P0210;128.0.13.210;PARANA;3610;0,0;2,0;2022-12-16 09:23:41.845535;0;0
210;P0211;128.0.13.42;PARANA;6655;0,0;5,0;2022-12-16 09:23:41.862165;0;0
211;P0212;128.0.13.43;PARANA;6655;0,0;13,0;2022-12-16 09:23:41.887936;0;0
212;P0213;128.0.13.43;PARANA (http://128.0.13.45/ NO ACEPTA TELNET);6655;0,0;1,0;2022-12-16 09:23:41.900633;0;0
213;P0214;128.0.13.46;PARANA;B405;0,0;1,0;2022-12-16 09:23:41.911280;0;0
214;P0215;128.0.13.47;PARANA;B405;0,0;1,0;2022-12-16 09:23:41.925506;0;0
